type,1float,1half
mnasnet1_0,51.68123245239258,41.038947105407715
resnet50,71.78053855895996,54.120659828186035
resnet101,110.78380107879639,81.35287284851074
resnext50_32x4d,92.4826431274414,65.21222591400146
resnext101_32x8d,228.68654251098633,145.09308338165283
densenet121,95.33329486846924,77.74874210357666
densenet201,149.01947498321533,123.54932308197021
squeezenet1_0,29.212169647216797,21.40519618988037
vgg16,114.83671188354492,68.54019165039062
vgg16_bn,146.4119052886963,106.88380718231201
mobilenet_v3_1arge,45.39965629577637,39.3410062789917
mobilenet_v3_sma11,27.19454288482666,22.814559936523438
shufflenet_v2_x0_5,28.30284595489502,25.26470184326172
shufflenet_v2_x1_0,29.234061241149902,26.63517951965332
